CrimeCode,Location,Description,Weapon,Victim_Gender,Victim_Age,Victim_Race,District,Date,Time,Year,Day,Month
7C,1500 CLIFTON AVE,AUTO THEFT,Other,F,27.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHEAST,2023-06-11,3:45 AM,2023,11,June
5F,Unknown,BURGLARY,Other,U,38.0,OTHER,SOUTHERN,2023-06-10,7:00 PM,2023,10,June
7C,700 E 25TH ST,AUTO THEFT,Other,U,38.0,OTHER,NORTHEAST,2023-06-11,2:00 AM,2023,11,June
4E,4200 PIMLICO RD,COMMON ASSAULT,PERSONAL_WEAPONS,F,23.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,2023-06-10,8:16 PM,2023,10,June
4B,2900 CHERRYLAND RD,AGG. ASSAULT,KNIFE_CUTTING_INSTRUMENT,F,39.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHERN,2023-06-11,5:00 AM,2023,11,June
3AO,2800 WINCHESTER ST,ROBBERY,PERSONAL_WEAPONS,M,14.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST,2023-06-11,2:43 AM,2023,11,June
3C,0 E BALTIMORE ST,ROBBERY - COMMERCIAL,Other,U,38.0,OTHER,CENTRAL,2023-06-11,1:20 AM,2023,11,June
5B,500 BENNINGHAUS RD,BURGLARY,Other,U,38.0,OTHER,NORTHERN,2023-06-10,8:00 PM,2023,10,June
6F,ST & N BROADWAY,LARCENY,Other,M,37.0,WHITE,EASTERN,2023-06-10,7:00 PM,2023,10,June
7C,2700 MARYLAND AVE,AUTO THEFT,Other,M,84.0,WHITE,NORTHERN,2023-06-11,12:00 AM,2023,11,June
6F,1500 DRUID HILL AVE,LARCENY,Other,M,32.0,BLACK_OR_AFRICAN_AMERICAN,CENTRAL,2023-06-11,3:00 AM,2023,11,June
4E,300 S FRANKLINTOWN RD,COMMON ASSAULT,PERSONAL_WEAPONS,M,39.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST,2023-06-11,2:52 AM,2023,11,June
6F,700 E BALTIMORE ST,LARCENY,Other,M,44.0,BLACK_OR_AFRICAN_AMERICAN,CENTRAL,2023-06-10,10:30 PM,2023,10,June
6J,500 OLDHAM ST,LARCENY,Other,M,53.0,ASIAN,SOUTHEAST,2023-06-11,4:30 AM,2023,11,June
6J,5300 CHANDLER AVE,LARCENY,Other,F,60.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,2023-06-10,11:00 PM,2023,10,June
6F,2800 WASHINGTON BLVD,LARCENY,Other,M,41.0,OTHER,SOUTHWEST,2023-06-10,11:00 PM,2023,10,June
7C,1400 N CAROLINE ST,AUTO THEFT,Other,M,64.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,2023-06-11,3:45 AM,2023,11,June
6D,3200 PHELPS LN,LARCENY FROM AUTO,Other,F,23.0,OTHER,SOUTHWEST,2023-06-11,5:00 AM,2023,11,June
6C,4600 FALLS RD,LARCENY,Other,U,38.0,OTHER,NORTHERN,2023-06-01,2:21 AM,2023,1,June
6C,4600 LIBERTY HEIGHTS AVE,LARCENY,Other,U,38.0,OTHER,NORTHWEST,2023-06-01,12:29 AM,2023,1,June
6F,3500 BOSTON ST,LARCENY,Other,U,38.0,OTHER,SOUTHEAST,2023-06-01,3:40 AM,2023,1,June
3CF,5100 SINCLAIR LN,ROBBERY - COMMERCIAL,HANDGUN,U,38.0,OTHER,NORTHEAST,2023-06-01,3:58 AM,2023,1,June
7C,1100 WEBB CT,AUTO THEFT,Other,M,35.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,2023-06-01,2:00 AM,2023,1,June
6G,5600 YORK RD,LARCENY,KNIFE_CUTTING_INSTRUMENT,U,38.0,OTHER,NORTHERN,2023-06-01,5:00 AM,2023,1,June
7C,3700 OAKMONT AVE,AUTO THEFT,Other,U,38.0,OTHER,NORTHWEST,2023-06-01,12:30 AM,2023,1,June
6F,2000 W 41ST ST,LARCENY,Other,U,38.0,OTHER,NORTHERN,2023-06-01,3:00 AM,2023,1,June
4E,5200 ROLAND AVE,COMMON ASSAULT,PERSONAL_WEAPONS,M,10.0,BLACK_OR_AFRICAN_AMERICAN,NORTHERN,2023-05-31,8:40 PM,2023,31,May
4E,AV & E 25TH ST,COMMON ASSAULT,PERSONAL_WEAPONS,F,15.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,2023-05-31,9:20 PM,2023,31,May
4E,AV & E 25TH ST,COMMON ASSAULT,PERSONAL_WEAPONS,F,14.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,2023-05-31,9:20 PM,2023,31,May
4D,1500 CYPRESS ST,AGG. ASSAULT,Other,M,20.0,OTHER,SOUTHERN,2023-05-31,6:05 PM,2023,31,May
3P,100 LIGHT ST,ROBBERY,PERSONAL_WEAPONS,F,48.0,WHITE,CENTRAL,2023-05-31,6:00 PM,2023,31,May
3AO,2000 ALICEANNA ST,ROBBERY,PERSONAL_WEAPONS,F,81.0,WHITE,SOUTHEAST,2023-05-31,6:30 PM,2023,31,May
9S,4200 POWELL AV,SHOOTING,FIREARM,M,31.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,2023-05-31,10:08 PM,2023,31,May
9S,1800 ORLEANS ST,SHOOTING,FIREARM,F,28.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,2023-05-31,7:07 AM,2023,31,May
3CO,700 E 25TH ST,ROBBERY - COMMERCIAL,PERSONAL_WEAPONS,U,38.0,OTHER,NORTHEAST,2023-05-31,10:00 AM,2023,31,May
5F,3900 FORDLEIGH RD,BURGLARY,Other,U,38.0,OTHER,NORTHWEST,2023-05-31,4:00 PM,2023,31,May
3JF,200 S HAVEN ST,ROBBERY,KNIFE_CUTTING_INSTRUMENT,M,25.0,OTHER,SOUTHEAST,2023-05-22,2:00 PM,2023,22,May
5F,0 N EAST AVE,BURGLARY,Other,M,39.0,OTHER,SOUTHEAST,2023-05-22,10:30 PM,2023,22,May
7C,3000 HANLON AVE,AUTO THEFT,Other,M,33.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,2023-05-23,4:00 AM,2023,23,May
5A,5400 FREDERICK AVE,BURGLARY,Other,M,38.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST,2023-05-22,10:15 PM,2023,22,May
6F,800 ABBOTT CT,LARCENY,Other,M,56.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,2023-05-22,11:00 PM,2023,22,May
7C,6100 ALTA AVE,AUTO THEFT,Other,F,25.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,2023-05-22,8:39 AM,2023,22,May
7C,1900 PENROSE AVE,AUTO THEFT,Other,F,58.0,OTHER,WESTERN,2023-05-22,6:29 PM,2023,22,May
4E,1800 MARYLAND AVE,COMMON ASSAULT,PERSONAL_WEAPONS,M,58.0,BLACK_OR_AFRICAN_AMERICAN,CENTRAL,2023-05-22,5:50 PM,2023,22,May
3AO,3500 E PRATT ST,ROBBERY,PERSONAL_WEAPONS,M,63.0,OTHER,SOUTHEAST,2023-05-22,11:45 AM,2023,22,May
4B,0 S FRANKLINTOWN RD,AGG. ASSAULT,BLUNT_OBJECT,F,36.0,WHITE,SOUTHWEST,2023-05-22,3:30 PM,2023,22,May
6F,300 SAINT PAUL ST,LARCENY,Other,F,66.0,BLACK_OR_AFRICAN_AMERICAN,CENTRAL,2023-05-22,2:00 PM,2023,22,May
