CrimeDateTime,CrimeCode,Location,Description,Weapon,Victim_Gender,Victim_Age,Victim_Race,District
"6/11/2023, 3:45 AM",7C,1500 CLIFTON AVE,AUTO THEFT,,F,27,BLACK_OR_AFRICAN_AMERICAN,SOUTHEAST
"6/10/2023, 7:00 PM",5F,,BURGLARY,,,,,SOUTHERN
"6/11/2023, 2:00 AM",7C,700 E 25TH ST,AUTO THEFT,,,,,NORTHEAST
"6/10/2023, 8:16 PM",4E,4200 PIMLICO RD,COMMON ASSAULT,PERSONAL_WEAPONS,F,23,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST
"6/11/2023, 5:00 AM",4B,2900 CHERRYLAND RD,AGG. ASSAULT,KNIFE_CUTTING_INSTRUMENT,F,39,BLACK_OR_AFRICAN_AMERICAN,SOUTHERN
"6/11/2023, 2:43 AM",3AO,2800 WINCHESTER ST,ROBBERY,PERSONAL_WEAPONS,M,14,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST
"6/11/2023, 1:20 AM",3C,0 E BALTIMORE ST,ROBBERY - COMMERCIAL,,,,,CENTRAL
"6/10/2023, 8:00 PM",5B,500 BENNINGHAUS RD,BURGLARY,,,,,NORTHERN
"6/10/2023, 7:00 PM",6F,ST & N BROADWAY,LARCENY,,M,37,WHITE,EASTERN
"6/11/2023, 12:00 AM",7C,2700 MARYLAND AVE,AUTO THEFT,,M,84,WHITE,NORTHERN
"6/11/2023, 3:00 AM",6F,1500 DRUID HILL AVE,LARCENY,,M,32,BLACK_OR_AFRICAN_AMERICAN,CENTRAL
"6/11/2023, 2:52 AM",4E,300 S FRANKLINTOWN RD,COMMON ASSAULT,PERSONAL_WEAPONS,M,39,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST
"6/10/2023, 10:30 PM",6F,700 E BALTIMORE ST,LARCENY,,M,44,BLACK_OR_AFRICAN_AMERICAN,CENTRAL
"6/11/2023, 4:30 AM",6J,500 OLDHAM ST,LARCENY,,M,53,ASIAN,SOUTHEAST
"6/10/2023, 11:00 PM",6J,5300 CHANDLER AVE,LARCENY,,F,60,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST
"6/10/2023, 11:00 PM",6F,2800 WASHINGTON BLVD,LARCENY,,M,41,,SOUTHWEST
"6/11/2023, 3:45 AM",7C,1400 N CAROLINE ST,AUTO THEFT,,M,64,BLACK_OR_AFRICAN_AMERICAN,EASTERN
"6/11/2023, 5:00 AM",6D,3200 PHELPS LN,LARCENY FROM AUTO,,F,23,,SOUTHWEST
"6/1/2023, 2:21 AM",6C,4600 FALLS RD,LARCENY,,,,,NORTHERN
"6/1/2023, 12:29 AM",6C,4600 LIBERTY HEIGHTS AVE,LARCENY,,,,,NORTHWEST
"6/1/2023, 3:40 AM",6F,3500 BOSTON ST,LARCENY,,,,,SOUTHEAST
"6/1/2023, 3:58 AM",3CF,5100 SINCLAIR LN,ROBBERY - COMMERCIAL,HANDGUN,,,,NORTHEAST
"6/1/2023, 2:00 AM",7C,1100 WEBB CT,AUTO THEFT,,M,35,BLACK_OR_AFRICAN_AMERICAN,EASTERN
