CrimeDateTime,CrimeCode,Location,Description,Weapon,Victim_Gender,Victim_Age,Victim_Race,District
"6/24/2023, 10:01 AM",4B,600 LUCIA AVE,AGG. ASSAULT,PERSONAL_WEAPONS,F,15,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST
"6/24/2023, 10:01 AM",4B,600 LUCIA AVE,AGG. ASSAULT,PERSONAL_WEAPONS,F,15,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST
"6/24/2023, 10:01 AM",4B,600 LUCIA AVE,AGG. ASSAULT,PERSONAL_WEAPONS,F,27,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST
"6/24/2023, 10:01 AM",3JK,600 LUCIA AVE,ROBBERY,PERSONAL_WEAPONS,M,25,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST
"6/24/2023, 9:45 AM",5A,3200 LILY AVE,BURGLARY,,M,48,,SOUTHERN
"6/24/2023, 6:35 PM",4E,1800 SPENCE ST,COMMON ASSAULT,PERSONAL_WEAPONS,M,30,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST
"6/24/2023, 6:00 PM",4E,1200 CLEVELAND ST,COMMON ASSAULT,PERSONAL_WEAPONS,F,41,WHITE,SOUTHERN
"6/24/2023, 6:20 PM",4E,900 HERNDON CT,COMMON ASSAULT,PERSONAL_WEAPONS,F,21,BLACK_OR_AFRICAN_AMERICAN,SOUTHERN
"6/24/2023, 7:50 AM",4E,400 N HAVEN ST,COMMON ASSAULT,PERSONAL_WEAPONS,M,40,BLACK_OR_AFRICAN_AMERICAN,SOUTHEAST
"6/24/2023, 7:30 AM",3AF,4800 EDMONDSON AVE,ROBBERY,HANDGUN,M,29,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST
"6/24/2023, 7:50 AM",7C,1000 ORLEANS ST,AUTO THEFT,,F,38,BLACK_OR_AFRICAN_AMERICAN,EASTERN
"6/24/2023, 8:00 AM",4B,2100 DRUID HILL AVE,AGG. ASSAULT,KNIFE_CUTTING_INSTRUMENT,F,54,WHITE,CENTRAL
"6/24/2023, 7:00 AM",4E,1500 PENNSYLVANIA AVE,COMMON ASSAULT,PERSONAL_WEAPONS,F,41,BLACK_OR_AFRICAN_AMERICAN,CENTRAL
"6/24/2023, 6:30 AM",6F,2400 MAISEL CT,LARCENY,PERSONAL_WEAPONS,F,17,BLACK_OR_AFRICAN_AMERICAN,SOUTHERN
"6/24/2023, 7:35 AM",3AO,EUTAW ST & W LOMBARD ST,ROBBERY,PERSONAL_WEAPONS,M,39,ASIAN,CENTRAL
"6/24/2023, 1:00 PM",6F,500 BALTIC AVE,LARCENY,PERSONAL_WEAPONS,F,25,BLACK_OR_AFRICAN_AMERICAN,SOUTHERN
"6/14/2023, 10:10 PM",7C,1300 KITMORE RD,AUTO THEFT,,F,48,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST
