CrimeCode,Location,Description,Weapon,Victim_Gender,Victim_Age,Victim_Race,District,Date,Time,Year,Day,Month
4B,600 LUCIA AVE,AGG. ASSAULT,PERSONAL_WEAPONS,F,15.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST,2023-06-24,10:01 AM,2023,24,June
4B,600 LUCIA AVE,AGG. ASSAULT,PERSONAL_WEAPONS,F,15.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST,2023-06-24,10:01 AM,2023,24,June
4B,600 LUCIA AVE,AGG. ASSAULT,PERSONAL_WEAPONS,F,27.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST,2023-06-24,10:01 AM,2023,24,June
3JK,600 LUCIA AVE,ROBBERY,PERSONAL_WEAPONS,M,25.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST,2023-06-24,10:01 AM,2023,24,June
5A,3200 LILY AVE,BURGLARY,Other,M,48.0,OTHER,SOUTHERN,2023-06-24,9:45 AM,2023,24,June
4E,1800 SPENCE ST,COMMON ASSAULT,PERSONAL_WEAPONS,M,30.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST,2023-06-24,6:35 PM,2023,24,June
4E,1200 CLEVELAND ST,COMMON ASSAULT,PERSONAL_WEAPONS,F,41.0,WHITE,SOUTHERN,2023-06-24,6:00 PM,2023,24,June
4E,900 HERNDON CT,COMMON ASSAULT,PERSONAL_WEAPONS,F,21.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHERN,2023-06-24,6:20 PM,2023,24,June
4E,400 N HAVEN ST,COMMON ASSAULT,PERSONAL_WEAPONS,M,40.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHEAST,2023-06-24,7:50 AM,2023,24,June
3AF,4800 EDMONDSON AVE,ROBBERY,HANDGUN,M,29.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST,2023-06-24,7:30 AM,2023,24,June
7C,1000 ORLEANS ST,AUTO THEFT,Other,F,38.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,2023-06-24,7:50 AM,2023,24,June
4B,2100 DRUID HILL AVE,AGG. ASSAULT,KNIFE_CUTTING_INSTRUMENT,F,54.0,WHITE,CENTRAL,2023-06-24,8:00 AM,2023,24,June
4E,1500 PENNSYLVANIA AVE,COMMON ASSAULT,PERSONAL_WEAPONS,F,41.0,BLACK_OR_AFRICAN_AMERICAN,CENTRAL,2023-06-24,7:00 AM,2023,24,June
